,BX_Err_Cnt,Bit_Err_Early,Bit_Err_Spill,Bit_Err_ShortAfter,Bit_Err_MidAfter,Bit_Err_LongAfter,ExtraInfo
2022-03-14 14:36:51,0,0,0,0,0,0,
2022-03-14 11:48:31,0,0,0,0,0,0,oot
2022-03-17 16:27:21,0,0,0,0,0,0,tsalgo_randdata_oot
2022-03-16 13:38:01,844,0,33310,63049,1,0,
2022-03-17 14:58:39,102,0,404,0,0,0,tsalgo_randdata
2022-03-15 17:53:12,789,0,31618,54047,0,0,
2022-03-15 11:19:47,0,0,0,0,0,0,oot
2022-03-14 14:16:17,0,0,0,0,0,0,oot
2022-03-14 12:03:09,0,0,0,0,0,0,
2022-03-14 11:36:23,0,0,0,0,0,0,oot
2022-03-15 18:06:14,775,0,28893,47628,0,0,
2022-03-14 12:18:49,4095,2749,33275,73990,109672,230524,oot
2022-03-15 13:59:39,202,0,3137,0,0,0,
2022-03-14 15:45:40,0,0,0,0,0,0,oot
2022-03-16 12:15:50,1601,0,35377,65815,78644,0,
2022-03-14 11:10:08,0,0,0,0,0,0,oot
2022-03-17 11:22:39,0,0,0,0,0,0,tsalgo_12etx_oot
2022-03-12 14:21:41,750,0,32922,47842,0,0,
2022-03-17 10:21:01,0,0,0,0,0,0,tsalgo
2022-03-15 09:21:31,0,0,0,0,0,0,oot
2022-03-15 16:30:00,132,0,651,0,0,0,
2022-03-16 15:33:07,909,0,34472,63011,387,0,
2022-03-16 14:17:03,828,0,34512,59867,0,0,
2022-03-17 16:50:55,0,0,0,0,0,0,tsalgo_randdata
2022-03-14 13:02:07,4095,3651,33189,73541,110482,230075,oot
2022-03-14 13:24:10,4095,3991,38022,83482,126170,262692,oot
2022-03-14 12:12:15,4095,3976,38639,85974,128222,267721,
2022-03-14 17:35:53,0,0,0,0,0,0,
2022-03-15 12:07:54,0,0,0,0,0,0,oot
2022-03-15 14:27:43,155,0,1332,0,0,0,
2022-03-14 17:13:50,0,0,0,0,0,0,
2022-03-15 10:11:08,0,0,0,0,0,0,
2022-03-14 15:05:24,0,0,0,0,0,0,oot
2022-03-17 09:25:55,188,0,3998,0,0,0,
2022-03-14 15:47:42,0,0,0,0,0,0,oot
2022-03-17 15:37:15,0,0,0,0,0,0,tsalgo_randdata_oot
2022-03-12 14:44:44,4,0,4,0,0,0,
2022-03-16 17:28:09,595,0,26802,12398,0,0,randdata
2022-03-14 15:23:58,0,0,0,0,0,0,
2022-03-15 09:44:34,0,0,0,0,0,0,oot
2022-03-14 10:52:28,0,0,0,0,0,0,
2022-03-16 14:37:06,1564,0,34931,63040,74324,0,
2022-03-16 15:45:08,868,0,34486,62679,31,0,
2022-03-15 18:37:19,767,0,28945,47835,0,0,
2022-03-17 11:52:14,7,0,11,0,0,0,
2022-03-11 17:49:58,4095,2996,29243,66194,98188,206092,
2022-03-16 16:54:08,628,0,26750,16656,0,0,randdata
2022-03-15 12:09:24,0,0,0,0,0,0,
2022-03-17 15:34:44,21,0,24,0,0,0,tsalgo_randdata
2022-03-14 13:19:10,4095,3481,33211,73659,110072,230964,oot
2022-03-14 11:07:06,0,0,0,0,0,0,oot
2022-03-17 13:39:58,231,0,2582,0,0,0,tsalgo_oot
2022-03-14 15:39:07,0,0,0,0,0,0,
2022-03-14 13:47:44,0,0,0,0,0,0,
2022-03-17 15:31:13,0,0,0,0,0,0,tsalgo_randdata_oot
2022-03-15 10:45:43,0,0,0,0,0,0,oot
2022-03-14 14:23:49,0,0,0,0,0,0,
2022-03-17 12:42:20,120,0,626,0,0,0,
2022-03-17 13:39:28,21,0,107,0,0,0,tsalgo
2022-03-14 16:14:58,0,0,0,0,0,0,oot
2022-03-16 14:56:07,1007,0,35132,63644,3039,0,
2022-03-14 13:15:09,4095,3508,33109,73250,110524,230495,oot
2022-03-15 17:25:09,161,0,1543,0,0,0,
2022-03-14 15:26:00,0,0,0,0,0,0,
2022-03-14 16:50:47,0,0,0,0,0,0,
2022-03-15 09:24:02,0,0,0,0,0,0,
2022-03-15 15:14:49,3,0,5,0,0,0,
2022-03-16 17:02:07,739,0,28114,43036,0,0,randdata
2022-03-15 14:40:44,13,0,21,0,0,0,
2022-03-14 14:25:18,0,0,0,0,0,0,oot
2022-03-17 09:07:52,5,0,5,0,0,0,
2022-03-16 12:35:55,964,0,34601,61886,788,0,
2022-03-17 16:49:54,1,0,1,0,0,0,tsalgo_randdata
2022-03-17 15:15:12,0,0,0,0,0,0,tsalgo_randdata_oot
2022-03-17 13:11:24,8,0,19,0,0,0,tsalgo
2022-03-16 10:19:38,988,0,34348,63976,1582,0,
2022-03-16 12:00:48,799,0,29274,54876,0,0,
2022-03-14 12:40:32,4095,3956,38590,85987,128262,267680,
2022-03-17 10:15:31,251,0,1388,2577,0,0,tsalgo_oot
2022-03-15 16:29:00,70,0,193,0,0,0,
2022-03-15 08:51:57,735,0,29794,45898,0,0,
2022-03-14 11:05:05,0,0,0,0,0,0,oot
2022-03-15 11:52:22,2,0,3,0,0,0,
2022-03-14 16:58:18,0,0,0,0,0,0,oot
2022-03-15 11:22:17,0,0,0,0,0,0,
2022-03-16 16:35:08,704,0,28279,34336,0,0,randdata
2022-03-14 11:53:33,0,0,0,0,0,0,oot
2022-03-15 10:43:13,0,0,0,0,0,0,
2022-03-15 18:00:13,747,0,29092,47435,0,0,
2022-03-14 18:14:59,0,0,0,0,0,0,
2022-03-14 14:38:20,0,0,0,0,0,0,oot
2022-03-17 16:37:53,1,0,1,0,0,0,tsalgo_randdata
2022-03-14 17:47:26,0,0,0,0,0,0,oot
2022-03-16 12:58:58,828,0,32439,59762,0,0,
2022-03-16 14:35:05,829,0,33784,61598,0,0,
2022-03-17 14:21:34,24,0,51,0,0,0,tsalgo
2022-03-15 16:06:56,8,0,30,0,0,0,
2022-03-17 12:14:17,52,0,155,0,0,0,
2022-03-15 10:08:08,0,0,0,0,0,0,
2022-03-14 11:52:04,0,0,0,0,0,0,
2022-03-16 13:00:58,812,0,33450,58730,0,0,
2022-03-17 15:17:11,0,0,0,0,0,0,tsalgo_randdata_oot
2022-03-14 18:03:28,0,0,0,0,0,0,oot
2022-03-14 14:09:46,0,0,0,0,0,0,
2022-03-14 10:11:50,0,0,0,0,0,0,oot
2022-03-16 17:45:10,627,0,28083,16065,0,0,randdata
2022-03-17 14:28:05,7,0,2,7,0,0,tsalgo_oot
2022-03-12 11:56:22,766,0,33157,49868,0,0,
2022-03-15 16:55:04,124,0,921,0,0,0,
2022-03-14 10:22:20,777,0,31477,52172,0,0,
2022-03-15 09:58:07,0,0,0,0,0,0,
2022-03-14 17:00:18,0,0,0,0,0,0,oot
2022-03-14 13:22:40,4095,3511,33153,73197,110516,230553,
2022-03-15 18:52:21,739,0,25792,42700,0,0,
2022-03-12 12:32:27,780,0,32534,48091,0,0,
2022-03-14 11:57:37,0,0,0,0,0,0,oot
2022-03-16 17:15:08,436,0,24771,3785,0,0,randdata
2022-03-15 11:35:19,0,0,0,0,0,0,
2022-03-15 12:21:56,0,0,0,0,0,0,oot
2022-03-16 11:53:47,837,0,31887,59662,0,0,
2022-03-14 11:29:19,0,0,0,0,0,0,oot
2022-03-17 11:26:10,1,0,4,0,0,0,tsalgo_12etx
2022-03-14 17:20:21,0,0,0,0,0,0,oot
2022-03-14 16:49:47,0,0,0,0,0,0,
2022-03-15 10:39:11,0,0,0,0,0,0,
2022-03-15 17:18:08,194,0,2984,0,0,0,
2022-03-17 13:41:29,10,0,23,0,0,0,tsalgo
2022-03-14 12:36:29,4095,4084,38007,85896,128203,268473,
2022-03-14 14:40:20,0,0,0,0,0,0,oot
2022-03-14 13:12:39,4095,3959,38682,85980,128191,267675,
