Time,Position w.r.t beam axis [mm],Motion table
03-11-22 16:50,100,194
03-11-22 17:22,50,244
03-11-22 17:29,30,264
03-11-22 17:36,25,269
03-11-22 17:46,25,269
03-11-22 17:51,30,264
03-12-22 10:04,50,244
03-12-22 10:34,40,254
03-12-22 10:57,35,259
03-12-22 13:04,30,264
03-12-22 14:06,35,259
03-12-22 14:30,33,261
03-12-22 15:20,60,234
03-14-22 10:14,50,244
03-14-22 10:57,35,259
03-14-22 11:14,30,264
03-14-22 11:43,27,267
03-14-22 13:20,30,264
03-14-22 14:12,29,265
03-14-22 14:50,28,266
03-14-22 15:33,27,267
03-14-22 16:30,25,269
03-15-22 10:36,23,271
03-15-22 11:22,22,272
03-15-22 12:00,20,274
03-15-22 12:22,18,276
03-15-22 12:30,40,254
03-15-22 12:59,30,264
03-15-22 13:06,25,269
03-15-22 13:22,22,272
03-15-22 13:53,20,274
03-15-22 17:20,19,275
03-15-22 17:49,18,276
03-16-22 09:12,30,264
03-16-22 09:29,25,269
03-16-22 09:33,22,272
03-16-22 09:42,20,274
03-16-22 09:46,18,276
03-16-22 12:15,17,277
03-16-22 14:06,16,278
03-16-22 16:18,16,278
03-17-22 08:55,30,264
03-17-22 11:54,20,274
03-17-22 16:10,25,269
